id,en,ja,pos,theme,level,is_frequent
190,coffee,コーヒー,noun,food,eiken5,0
191,juice,ジュース,noun,food,eiken5,1
192,curry,カレー,noun,food,eiken5,0
193,tea,お茶,noun,food,eiken5,1
194,potato,じゃがいも,noun,food,eiken5,0
195,strawberry,いちご,noun,food,eiken5,0
196,banana,バナナ,noun,food,eiken5,0
197,chocolate,チョコレート,noun,food,eiken5,0
198,hamburger,ハンバーガー,noun,food,eiken5,0
199,jam,ジャム,noun,food,eiken5,0
200,tomato,トマト,noun,food,eiken5,0
201,cucumber,きゅうり,noun,food,eiken5,0
202,onion,玉ねぎ,noun,food,eiken5,0
203,soup,スープ,noun,food,eiken5,0
204,pie,パイ,noun,food,eiken5,0
205,pumpkin,かぼちゃ,noun,food,eiken5,0
206,salad,サラダ,noun,food,eiken5,0
209,home,家・家庭,noun,home,eiken5,1
210,house,家,noun,home,eiken5,1
211,room,部屋,noun,home,eiken5,1
212,door,ドア,noun,home,eiken5,1
213,window,窓,noun,home,eiken5,1
214,floor,床,noun,home,eiken5,0
215,wall,壁,noun,home,eiken5,0
216,garden,庭,noun,home,eiken5,0
217,bathroom,浴室・トイレ,noun,home,eiken5,0
218,shower,シャワー,noun,home,eiken5,0
219,bath,お風呂,noun,home,eiken5,0
220,dining room,ダイニング,noun,home,eiken5,0
221,kitchen,台所・キッチン,noun,home,eiken5,1
222,bedroom,寝室,noun,home,eiken5,0
223,living room,リビング,noun,home,eiken5,0
224,curtain,カーテン,noun,home,eiken5,0
225,desk,勉強机,noun,home,eiken5,1
226,chair,いす,noun,home,eiken5,1
227,table,テーブル,noun,home,eiken5,1
228,bed,ベッド,noun,home,eiken5,1
229,sofa,ソファー,noun,home,eiken5,0
230,clock,置時計・壁時計,noun,home,eiken5,0
231,TV,テレビ,noun,home,eiken5,1
232,calendar,カレンダー,noun,home,eiken5,0
233,picture,絵・写真,noun,home,eiken5,0
234,basket,かご・ざる,noun,home,eiken5,0
235,towel,タオル,noun,home,eiken5,0
236,brush,ブラシ,noun,home,eiken5,0
237,toy,おもちゃ,noun,home,eiken5,0
238,doll,人形,noun,home,eiken5,0
239,magazine,雑誌,noun,home,eiken5,0
240,comic book,マンガ,noun,home,eiken5,0
241,cup,カップ,noun,home,eiken5,0
242,fork,フォーク,noun,home,eiken5,0
243,spoon,スプーン,noun,home,eiken5,0
244,knife,ナイフ,noun,home,eiken5,0
245,phone,電話,noun,home,eiken5,1
246,plate,皿,noun,home,eiken5,0
248,chopstick,箸,noun,home,eiken5,0
249,lunchbox,弁当箱,noun,home,eiken5,0
250,school,学校,noun,school,eiken5,0
251,class,クラス・組,noun,school,eiken5,0
252,lesson,レッスン・授業,noun,school,eiken5,0
253,classroom,教室,noun,school,eiken5,0
254,gym,体育館・ジム,noun,school,eiken5,0
255,pool,プール,noun,school,eiken5,0
256,locker,ロッカー,noun,school,eiken5,0
257,blackboard,黒板,noun,school,eiken5,0
258,student,学生・生徒,noun,school,eiken5,0
259,teacher,先生,noun,school,eiken5,0
260,classmate,クラスメート,noun,school,eiken5,0
261,subject,科目,noun,school,eiken5,0
262,science,科学・理科,noun,school,eiken5,0
263,math,算数・数学,noun,school,eiken5,0
264,art,美術・芸術,noun,school,eiken5,0
265,P.E.,体育,noun,school,eiken5,0
266,history,歴史,noun,school,eiken5,0
267,textbook,教科書,noun,school,eiken5,0
268,book,本,noun,school,eiken5,0
269,page,ページ,noun,school,eiken5,0
270,pen,ペン,noun,school,eiken5,0
271,notebook,ノート,noun,school,eiken5,0
272,chalk,チョーク,noun,school,eiken5,0
273,pencil,えんぴつ,noun,school,eiken5,0
274,eraser,消しゴム,noun,school,eiken5,0
275,ruler,定規,noun,school,eiken5,0
276,dictionary,辞書,noun,school,eiken5,0
277,pencil case,筆箱,noun,school,eiken5,0
278,test,テスト,noun,school,eiken5,0
279,homework,宿題,noun,school,eiken5,0
280,park,公園,noun,place,eiken5,0
281,cafeteria,カフェテリア・食堂,noun,place,eiken5,0
282,station,駅,noun,place,eiken5,0
283,restaurant,レストラン,noun,place,eiken5,0
284,library,図書館,noun,place,eiken5,0
285,zoo,動物園,noun,place,eiken5,0
286,mountain,山,noun,place,eiken5,0
287,store,店,noun,place,eiken5,0
288,hospital,病院,noun,place,eiken5,0
289,museum,博物館・美術館,noun,place,eiken5,0
290,bus stop,バス停,noun,place,eiken5,0
291,place,場所,noun,place,eiken5,0
292,post office,郵便局,noun,place,eiken5,0
